Maker's 46 Kentucky Bourbon,47 %,750 ml,,,$63.25,,https://www.saq.com/page/en/saqcom/american-whiskey/makers-46-kentucky-bourbon/11467204
Rozelieures Single Malt Whisky Origine Collection,40 %,700 ml,,,$69.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/rozelieures-single-malt-whisky-origine-collection/13485182
Poit Dhubh 21 ans Gaelic scotch whisky blended,43 %,700 ml,,,$160.00,,https://www.saq.com/page/en/saqcom/scotch-blended-malt/poit-dhubh-21-ans-gaelic-scotch-whisky-blended/12329680
Royal Lochnagar 12 ans Highland scotch single malt,40 %,750 ml,,,$129.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/royal-lochnagar-12-ans-highland-scotch-single-malt/12272249
Linkwood 22 ans Hart Brothers Speyside Scotch Single Malt,46 %,700 ml,,,$231.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/linkwood-22-ans-hart-brothers-speyside-scotch-single-malt/12347589
Masterson's 10 ans Straight Barley Whiskey,46 %,750 ml,,,$111.50,,https://www.saq.com/page/en/saqcom/canadian-whisky/mastersons-10-ans-straight-barley-whiskey/12256396
Littlemill 16 ans Scotch Single Malt,57.3 %,700 ml,,,$233.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/littlemill-16-ans-scotch-single-malt/11131487
Michel Couvreur Single Malt Single Cask 10 years,47 %,500 ml,,,$117.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/michel-couvreur-single-malt-single-cask-10-years/12167852
Maker's Mark,45 %,375 ml,,,$24.35,,https://www.saq.com/page/en/saqcom/american-whiskey/makers-mark/13495006
Label 5 Classic Black Scotch Blended,40 %,750 ml,,,$24.40,,https://www.saq.com/page/en/saqcom/scotch-blended/label-5-classic-black-scotch-blended/11133394
Brora 34 years old Single Malt Scotch Whisky,51.9 %,750 ml,,,"$2,599.75",,https://www.saq.com/page/en/saqcom/scotch-single-malt/brora-34-years-old-single-malt-scotch-whisky/13572340
Balblair 1990 Scotch Single Malt 1990,46 %,700 ml,,,$214.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/balblair-1990-scotch-single-malt-1990/12413793
Bulleit 10 ans Bourbon,45.6 %,750 ml,,,$49.75,,https://www.saq.com/page/en/saqcom/whisky/bulleit-10-ans-bourbon/12820292
Bowmore 1989 23 Years Port Matured Islay Scotch Single Malt,50.8 %,750 ml,,,$699.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/bowmore-1989-23-years-port-matured-islay-scotch-single-malt/12250111
Bowmore 18 Years Old Islay Scotch Single Malt,43 %,750 ml,,,$128.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/bowmore-18-years-old-islay-scotch-single-malt/10852303
Bowmore 12 Years Islay Scotch Single Malt,40 %,350 ml,,,$32.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/bowmore-12-years-islay-scotch-single-malt/514463
Bulleit Frontier Bourbon,45 %,375 ml,,,$20.05,,https://www.saq.com/page/en/saqcom/american-whiskey/bulleit-frontier-bourbon/12956190
Ben Nevis 12 Ans White Port Cask Strenght,56.3 %,700 ml,,,$468.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ben-nevis-12-ans-white-port-cask-strenght/13337163
Benromach 35 Years Old Speyside Single Malt Scotch Whisky,43 %,700 ml,,,"$1,248.00",,https://www.saq.com/page/en/saqcom/scotch-single-malt/benromach-35-years-old-speyside-single-malt-scotch-whisky/13199493
BenRiach 16 ans Speyside Single Malt Scotch Whisky,43 %,700 ml,,,$131.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/benriach-16-ans-speyside-single-malt-scotch-whisky/13229779
Benromach Exclusive Single Cask Speyside Scotch Single Malt,60 %,700 ml,,,$127.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/benromach-exclusive-single-cask-speyside-scotch-single-malt/13352777
Ben Nevis 10 years old Scotch Single Malt,46 %,700 ml,,,$83.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ben-nevis-10-years-old-scotch-single-malt/12432281
Balblair 1999 1999,46 %,700 ml,,,$161.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/balblair-1999-1999/12668323
Black Bull 12 Years Old Blended Scotch,50 %,750 ml,,,$75.00,,https://www.saq.com/page/en/saqcom/scotch-blended/black-bull-12-years-old-blended-scotch/12395169
Balblair 2003,46 %,700 ml,,,$92.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/balblair-2003/12771582
Balblair 1969 Highland Scotch Single Malt,41.4 %,700 ml,,,"$3,782.25",,https://www.saq.com/page/en/saqcom/scotch-single-malt/balblair-1969-highland-scotch-single-malt/12413814
Balblair 1997 Single Cask 1108 Highland Single Malt Scotch Whisky,58.4 %,700 ml,,,$218.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/balblair-1997-single-cask-1108-highland-single-malt-scotch-whisky/13335264
Auchentoshan 21 Years Old Lowland Scotch Single Malt,43 %,750 ml,,,$199.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/auchentoshan-21-years-old-lowland-scotch-single-malt/398776
Auchentoshan Three Wood Scotch Single Malt,43 %,750 ml,,,$80.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/auchentoshan-three-wood-scotch-single-malt/13063721
Ardbeg 1815 Écosse Single Malt Scotch Whisky,50.1 %,700 ml,,,"$8,901.00",,https://www.saq.com/page/en/saqcom/scotch-single-malt/ardbeg-1815-ecosse-single-malt-scotch-whisky/13629764
Ardbeg Perpetuum,47.4 %,750 ml,,,$164.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ardbeg-perpetuum/12668964
Armorik Single Malt Double Maturation,46 %,700 ml,,,$74.00,,https://www.saq.com/page/en/saqcom/scotch-pure-malt/armorik-single-malt-double-maturation/11975882
Ardbeg Day Kelpie,46 %,750 ml,,,$177.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ardbeg-day-kelpie/13342376
Ardbeg Corryvreckan,57.1 %,750 ml,,,$180.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ardbeg-corryvreckan/12362797
Armorik Sherry Finish Single Malt,46 %,750 ml,,,$76.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/armorik-sherry-finish-single-malt/13040669
Auchentoshan 12 Years Old Lowland Scotch Single Malt,40 %,750 ml,,,$60.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/auchentoshan-12-years-old-lowland-scotch-single-malt/11156174
Ardbeg AN OA Islay Single Malt Scotch Whisky,46.6 %,750 ml,,,$118.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ardbeg-an-oa-islay-single-malt-scotch-whisky/13407854
Alberta Premium Dark Horse,45 %,750 ml,,,$34.75,,https://www.saq.com/page/en/saqcom/canadian-whisky/alberta-premium-dark-horse/12729421
AnCnoc 35 Years Old,41 %,700 ml,,,"$1,265.25",,https://www.saq.com/page/en/saqcom/scotch-single-malt/ancnoc-35-years-old/13229648
An Cnoc 24 ans Highlands Scotch Single Malt,46 %,700 ml,,,$268.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/an-cnoc-24-ans-highlands-scotch-single-malt/12889601
Alberta Premium Canadian Rye Whisky,40 %,750 ml,,,$26.05,,https://www.saq.com/page/en/saqcom/canadian-whisky/alberta-premium-canadian-rye-whisky/13418406
AnCnoc 12 Years Old Highland Scotch Single Malt,40 %,700 ml,,,$78.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/ancnoc-12-years-old-highland-scotch-single-malt/368043
The Lost Distillery Stratheden Blended Malt Scotch,46 %,700 ml,,,$107.00,,https://www.saq.com/page/en/saqcom/scotch-blended-malt/the-lost-distillery-stratheden-blended-malt-scotch/12449382
Aberlour 16 Years Old Highland Scotch Single Malt,40 %,750 ml,,,$108.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/aberlour-16-years-old-highland-scotch-single-malt/10812969
Aberlour 12 Years Highland Scotch Single Malt,40 %,750 ml,,,$66.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/aberlour-12-years-highland-scotch-single-malt/10866887
Yamazakura Blended Whisky,40 %,700 ml,,,$59.75,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/yamazakura-blended-whisky/12890830
Distillerie des Menhirs Grey Rock Broceliande Whisky,40 %,700 ml,,,$70.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/distillerie-des-menhirs-grey-rock-broceliande-whisky/12662319
Hart Brothers Glen Rothes 17 Years Old,55.8 %,700 ml,,,$272.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/hart-brothers-glen-rothes-17-years-old/12612303
Hankey Bannister 21 Yo Highlands Scotch Blended,40 %,700 ml,,,$337.00,,https://www.saq.com/page/en/saqcom/scotch-blended/hankey-bannister-21-yo-highlands-scotch-blended/12914441
Woodford Reserve Kentucky Straight Rye,45.2 %,750 ml,,,$58.00,,https://www.saq.com/page/en/saqcom/american-whiskey/woodford-reserve-kentucky-straight-rye/13572542
Distillerie des Menhirs Gold Whisky,43 %,700 ml,,,$134.00,,https://www.saq.com/page/en/saqcom/whisky/distillerie-des-menhirs-gold-whisky/12662423
Whyte & Mackay John Barr Reserve,40 %,750 ml,,,$29.95,,https://www.saq.com/page/en/saqcom/scotch-blended/whyte--mackay-john-barr-reserve/13358714
Westland American Single Malt,46 %,700 ml,,,$107.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/westland-american-single-malt/13092590
Widow Jane Oak Aged Rye Mash Whiskey Batch 10,45.5 %,750 ml,,,$108.00,,https://www.saq.com/page/en/saqcom/american-whiskey/widow-jane-oak-aged-rye-mash-whiskey-batch-10/13343141
Wild Turkey 81 Kentucky Bourbon,40.5 %,750 ml,,,$31.25,,https://www.saq.com/page/en/saqcom/american-whiskey/wild-turkey-81-kentucky-bourbon/11840347
Wiser's Deluxe,40 %,750 ml,On sale!,$2.00,$23.45,,https://www.saq.com/page/en/saqcom/canadian-whisky/wisers-deluxe/10749795
Wayne Gretzky No. 99 Red Cask,40 %,750 ml,,,$39.75,,https://www.saq.com/page/en/saqcom/canadian-whisky/wayne-gretzky-no-99-red-cask/13220070
Tullibardine 225 Sauternes Finish Highlands Scotch Single Malt,43 %,750 ml,,,$73.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tullibardine-225-sauternes-finish-highlands-scotch-single-malt/11997740
Woodford Reserve Kentucky Straight Bourbon,45.2 %,750 ml,,,$48.75,,https://www.saq.com/page/en/saqcom/american-whiskey/woodford-reserve-kentucky-straight-bourbon/10323111
Tincup,42 %,750 ml,,,$41.25,,https://www.saq.com/page/en/saqcom/american-whiskey/tincup/12730107
Tullamore D.E.W Irish Whiskey Triple Distilled,40 %,750 ml,,,$34.00,,https://www.saq.com/page/en/saqcom/irish-whiskey/tullamore-dew-irish-whiskey-triple-distilled/13418078
The Whistler Irish Whiskey 10 Years Old Single Malt,46 %,750 ml,,,$109.50,,https://www.saq.com/page/en/saqcom/irish-whiskey/the-whistler-irish-whiskey-10-years-old-single-malt/13439004
The Murray Tullibardine 2017,56.1 %,750 ml,,,$92.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-murray-tullibardine-2017/13320951
The Macallan Edition No. 3,48.3 %,750 ml,,,$161.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-edition-no-3/13572876
The Whistler The Blue Note Single Malt 7 Ans,46 %,750 ml,,,$85.00,,https://www.saq.com/page/en/saqcom/irish-whiskey/the-whistler-the-blue-note-single-malt-7-ans/13418107
The Macallan Edition 2,48.2 %,750 ml,,,$180.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-edition-2/13165728
The Glenlivet Single Malt Scotch Whisky Single Cask Edition - Bridge of Cally,59.4 %,750 ml,,,$325.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-single-malt-scotch-whisky-single-cask-edition---bridge-of-cally/13217399
The Glenlivet Nadurra Peated Scotch Whisky,62 %,750 ml,,,$94.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-nadurra-peated-scotch-whisky/13314341
The Glenlivet Founder's Single malt Scotch whisky,40 %,750 ml,,,$52.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-founders-single-malt-scotch-whisky/12673675
Tobermory 10 Years Old scotch single malt,46.3 %,750 ml,,,$65.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tobermory-10-years-old-scotch-single-malt/11907329
The Dubliner Bourbon Cask,40 %,750 ml,,,$39.75,,https://www.saq.com/page/en/saqcom/irish-whiskey/the-dubliner-bourbon-cask/13064661
The Glenlivet XXV Scotch Single Malt,43 %,750 ml,,,$364.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-xxv-scotch-single-malt/11251041
The Macallan Double Cask 12 years,40 %,750 ml,,,$100.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-double-cask-12-years/13188989
The Irishman Founders Reserve,40 %,700 ml,,,$55.00,,https://www.saq.com/page/en/saqcom/irish-whiskey/the-irishman-founders-reserve/12729860
The Balvenie TUN 1509,50.3 %,750 ml,,,$745.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-tun-1509/13197771
The Dalmore 15 Years Highland Scotch Single Malt,40 %,750 ml,,,$135.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-dalmore-15-years-highland-scotch-single-malt/11368011
The Balvenie 14 Years Old Caribbean Cask Scotch Single Malt,43 %,750 ml,,,$127.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-14-years-old-caribbean-cask-scotch-single-malt/11909965
The Balvenie 25 yo Single Barrel Scotch Single Malt,47.8 %,700 ml,,,"$1,307.00",,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-25-yo-single-barrel-scotch-single-malt/12982523
The Glenlivet 12 ans Highland Scotch Single Malt,40 %,750 ml,,,$58.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-12-ans-highland-scotch-single-malt/21097
The Classic Laddie Scottish Barley,50 %,750 ml,,,$67.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-classic-laddie-scottish-barley/12471715
The Dalmore 12 years Highland Scotch Single Malt,40 %,750 ml,,,$85.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-dalmore-12-years-highland-scotch-single-malt/11247906
The Balvenie 12 ans Single Barrel,47.8 %,750 ml,,,$141.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-12-ans-single-barrel/12669449
The Arran Malt The Bothy Quarter Cask Batch no.2 Scotch Whisky,55.2 %,700 ml,,,$94.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-arran-malt-the-bothy-quarter-cask-batch-no2-scotch-whisky/13352401
The Arran Malt Sherry Finish Single Malt Scotch Whisky,46 %,700 ml,,,$75.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-arran-malt-sherry-finish-single-malt-scotch-whisky/13417876
The Arran Malt 21st Anniversary Limited Edition,52.6 %,700 ml,,,$282.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-arran-malt-21st-anniversary-limited-edition/13553384
Teeling Whiskey Galway Bay Stout Finish Double Vieillissement,46 %,700 ml,,,$73.00,,https://www.saq.com/page/en/saqcom/irish-whiskey/teeling-whiskey-galway-bay-stout-finish-double-vieillissement/13572841
Teeling Whiskey Single Malt Irish Whiskey,46 %,700 ml,,,$80.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/teeling-whiskey-single-malt-irish-whiskey/12719590
The Balvenie 12 ans DoubleWood Scotch Single Malt,40 %,750 ml,,,$88.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-12-ans-doublewood-scotch-single-malt/387316
Talisker Storm,45.8 %,750 ml,,,$100.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/talisker-storm/12361057
Talisker 10 ans Isle of Skye Scotch Single Malt,45.8 %,750 ml,,,$79.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/talisker-10-ans-isle-of-skye-scotch-single-malt/249680
Teeling Distillery Poitin Spirit of Dublin,52.5 %,500 ml,,,$44.75,,https://www.saq.com/page/en/saqcom/irish-whiskey/teeling-distillery-poitin-spirit-of-dublin/12503828
Suntory Whisky Toki,43 %,750 ml,,,$61.00,,https://www.saq.com/page/en/saqcom/whisky/suntory-whisky-toki/13064572
St-Leger Scotch Blended,40 %,1.14 L,,,$39.75,,https://www.saq.com/page/en/saqcom/scotch-blended/st-leger-scotch-blended/4945
Teaninich 17 years old Single Malt Scotch Whisky,55.9 %,750 ml,,,$599.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/teaninich-17-years-old-single-malt-scotch-whisky/13572358
Teeling Whiskey Single Grain Irish Whisky,46 %,700 ml,,,$71.00,,https://www.saq.com/page/en/saqcom/irish-whiskey/teeling-whiskey-single-grain-irish-whisky/12496955
The Arran Malt 14 Years Old Scotch Single Malt,46 %,700 ml,,,$83.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-arran-malt-14-years-old-scotch-single-malt/12503692
Teeling Whiskey Small Batch,46 %,700 ml,,,$52.25,,https://www.saq.com/page/en/saqcom/irish-whiskey/teeling-whiskey-small-batch/12404811
Talisker 57 North,57 %,700 ml,,,$175.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/talisker-57-north/12550341
Té Bheag un-chilfiltered Gaelic Scotch Blended,40 %,700 ml,,,$39.75,,https://www.saq.com/page/en/saqcom/scotch-blended/te-bheag-un-chilfiltered-gaelic-scotch-blended/858209
Sivo Le Rye,42 %,750 ml,,,$45.75,,https://www.saq.com/page/en/saqcom/whisky/sivo-le-rye/13566804
Smokehead Islay Scotch Single Malt,43 %,750 ml,,,$68.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/smokehead-islay-scotch-single-malt/12633227
Sivo Le Single Malt,42 %,750 ml,,,$54.75,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/sivo-le-single-malt/13566847
Speyburn 15 Years Speyside Single Malt Scotch Whisky,46 %,750 ml,,,$128.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/speyburn-15-years-speyside-single-malt-scotch-whisky/13481624
Sivo L'Essence du Single-Malt,42 %,750 ml,,,$44.50,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/sivo-lessence-du-single-malt/12729481
Speyburn Single Malt Bradan Orach,40 %,700 ml,,,$54.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/speyburn-single-malt-bradan-orach/12117901
Johnnie Walker Blue Label Anniversary Scotch Blended,61 %,700 ml,,,"$4,356.50",,https://www.saq.com/page/en/saqcom/scotch-blended/johnnie-walker-blue-label-anniversary-scotch-blended/10868196
Sivo L'Essence du Rye,42 %,750 ml,,,$35.75,,https://www.saq.com/page/en/saqcom/whisky/sivo-lessence-du-rye/13064151
Singleton Tailfire Single Malt Scoth Whisky,40 %,750 ml,,,$49.25,,https://www.saq.com/page/en/saqcom/scotch-blended/singleton-tailfire-single-malt-scoth-whisky/13384357
Singleton of Dufftown 12 Years Single Malt Scotch Whisky,40 %,750 ml,,,$58.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/singleton-of-dufftown-12-years-single-malt-scotch-whisky/13415715
Scapa Glansa,40 %,750 ml,,,$85.25,,https://www.saq.com/page/en/saqcom/whisky/scapa-glansa/13218498
J.P. Wiser's Hopped,40 %,750 ml,,,$29.20,,https://www.saq.com/page/en/saqcom/canadian-whisky/jp-wisers-hopped/13064468
Hart Brothers 17 ans Port Finish Scotch Blended Malt,50 %,700 ml,,,$118.00,,https://www.saq.com/page/en/saqcom/scotch-blended-malt/hart-brothers-17-ans-port-finish-scotch-blended-malt/12361129
Hart Brothers 17 ans Sherry Finish Scotch Single Malt,50 %,700 ml,,,$118.00,,https://www.saq.com/page/en/saqcom/scotch-blended-malt/hart-brothers-17-ans-sherry-finish-scotch-single-malt/12361090
Seagram's V.O.,40 %,1.14 L,,,$34.50,,https://www.saq.com/page/en/saqcom/canadian-whisky/seagrams-vo/11584136
Glen Spey 20 ans Hart Brothers Speyside Scotch Single Malt,46 %,700 ml,,,$198.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glen-spey-20-ans-hart-brothers-speyside-scotch-single-malt/12347538
Glendullan 13 ans Hart Brothers Speyside Scotch Single Malt,55.5 %,700 ml,,,$152.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glendullan-13-ans-hart-brothers-speyside-scotch-single-malt/12350366
Hunter Laing 12 ans Hepburn's Choice Braeval Sherry Cask,46 %,700 ml,,,$92.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/hunter-laing-12-ans-hepburns-choice-braeval-sherry-cask/12275714
Crown Royal Vanilla,35 %,750 ml,,,$30.25,,https://www.saq.com/page/en/saqcom/canadian-whisky/crown-royal-vanilla/13218527
Domaine des Hautes glaces Single Malt S11#01,45 %,750 ml,,,$133.50,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/domaine-des-hautes-glaces-single-malt-s1101/12361639
Distillerie des Menhirs Silver Broceliande Whisky,42 %,700 ml,,,$87.00,,https://www.saq.com/page/en/saqcom/whisky/distillerie-des-menhirs-silver-broceliande-whisky/12662360
Dry Fly Washington Wheat,40 %,750 ml,,,$63.00,,https://www.saq.com/page/en/saqcom/american-whiskey/dry-fly-washington-wheat/11991153
Bravel 18 ans Scotch Single Malt,57.6 %,700 ml,,,$242.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/bravel-18-ans-scotch-single-malt/11131452
Benromach Organic 2010,43 %,700 ml,,,$94.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/benromach-organic-2010/12683558
Chivas Regal 12 ans Scotch Blended,40 %,50 ml,,,$4.25,,https://www.saq.com/page/en/saqcom/scotch-blended/chivas-regal-12-ans-scotch-blended/117747
BenRiach 10 Years Old Speyside Single Malt,43 %,700 ml,,,$70.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/benriach-10-years-old-speyside-single-malt/12727215
Compass Box Oak Cross Highland Scotch Blended Malt,43 %,700 ml,,,$70.00,,https://www.saq.com/page/en/saqcom/scotch-blended-malt/compass-box-oak-cross-highland-scotch-blended-malt/11534585
BenRiach Heart of Speyside Scotch Single Malt,40 %,700 ml,,,$68.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/benriach-heart-of-speyside-scotch-single-malt/13063570
Ballantine's 21 ans Scotch Blended,40 %,700 ml,,,$163.50,,https://www.saq.com/page/en/saqcom/scotch-blended/ballantines-21-ans-scotch-blended/10866916
Woodford Reserve Kentucky Bourbon,45.2 %,375 ml,,,$25.15,,https://www.saq.com/page/en/saqcom/american-whiskey/woodford-reserve-kentucky-bourbon/12762889
Zazu Whisky Japonais,40 %,750 ml,,,$39.50,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/zazu-whisky-japonais/13418369
Wild Turkey Kentucky Straight Rye,40.5 %,750 ml,,,$32.50,,https://www.saq.com/page/en/saqcom/american-whiskey/wild-turkey-kentucky-straight-rye/13064610
Widow Jane Oak & Apple Wood Aged Rye Mash Whiskey Batch 10,45.5 %,750 ml,,,$111.75,,https://www.saq.com/page/en/saqcom/american-whiskey/widow-jane-oak--apple-wood-aged-rye-mash-whiskey-batch-10/13343176
Westland Sherrywood American Single Malt,46 %,700 ml,,,$107.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/westland-sherrywood-american-single-malt/13092611
Amrut Fusion Whisky Single Malt,50 %,700 ml,,,$79.25,,https://www.saq.com/page/en/saqcom/whisky/amrut-fusion-whisky-single-malt/11612459
Westland Peated American Single Malt,46 %,700 ml,,,$107.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/westland-peated-american-single-malt/13092549
Wild Turkey 101 Kentucky Straight Bourbon,50.5 %,750 ml,,,$36.50,,https://www.saq.com/page/en/saqcom/american-whiskey/wild-turkey-101-kentucky-straight-bourbon/13416005
Woodford Reserve Double Oaked,45.2 %,750 ml,,,$71.50,,https://www.saq.com/page/en/saqcom/american-whiskey/woodford-reserve-double-oaked/12272169
Virginia Black Whiskey,40 %,750 ml,,,$49.25,,https://www.saq.com/page/en/saqcom/american-whiskey/virginia-black-whiskey/13343053
Tyrconnell 10 ans Madeira Cask Single Malt,46 %,700 ml,,,$108.25,,https://www.saq.com/page/en/saqcom/irish-whiskey/tyrconnell-10-ans-madeira-cask-single-malt/11608206
Tomatin 12 Years Highland Single Malt Scotch Whisky,43 %,750 ml,,,$57.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tomatin-12-years-highland-single-malt-scotch-whisky/13416380
Tullibardine Sovereign Single Malt Scotch Whisky,43 %,750 ml,,,$71.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tullibardine-sovereign-single-malt-scotch-whisky/12727098
Three Ships Whisky Single Malt 10 Years Old,44.6 %,750 ml,,,$96.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/three-ships-whisky-single-malt-10-years-old/13335635
Tullibardine 228 Burgundy Finish Highlands Scotch Single Malt,43 %,750 ml,,,$73.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tullibardine-228-burgundy-finish-highlands-scotch-single-malt/11997731
The Macallan Fine Oak 21 years old,43 %,750 ml,,,$940.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-fine-oak-21-years-old/12362885
The Macallan 15 ans Fine Oak Highland Scotch Single Malt,43 %,750 ml,,,$144.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-15-ans-fine-oak-highland-scotch-single-malt/10797017
